datetime,temperature,humidity,co2_concentration,average_co2_last_hour,average_temperature_last_hour,average_humidity_last_hour,current_value_minus_average_last_hour_co2,current_value_minus_average_last_hour_temperature,current_value_minus_average_last_hour_humidity,current_value_minus_last_15_min_co2,current_value_minus_last_15_min_temperature,current_value_minus_last_15_min_humidity,room_number,hour_of_the_day,day_number_of_the_week,day_of_year,floor_area,occupancy
30-01-23 00:00,20.4,37.5,637.1,637.1,20.4,37.5,0,0,0,0,0,0,1,0,1,30,16,0
30-01-23 00:15,20.4,37.6,637.6,637.6,20.4,37.6,0,0,0,0.5,0,0.1,1,0,1,30,16,0
30-01-23 00:30,20.4,37.6,629,629,20.4,37.6,0,0,0,-8.6,0,0,1,0,1,30,16,0
30-01-23 00:45,20.5,39.1,790.2,790.2,20.5,39.1,0,0,0,161.2,0.1,1.5,1,0,1,30,16,0
30-01-23 01:00,20.6,39.7,861.7,673.48,20.43,37.95,188.23,0.18,1.75,71.5,0.1,0.6,1,1,1,30,16,1
30-01-23 01:15,20.7,39.6,867.2,729.63,20.48,38.5,137.58,0.22,1.1,5.5,0.1,-0.1,1,1,1,30,16,1
30-01-23 01:30,20.7,39.6,861.5,787.03,20.55,39,74.47,0.15,0.6,-5.7,0,0,1,1,1,30,16,1
30-01-23 01:45,20.7,39.6,870.3,845.15,20.63,39.5,25.15,0.07,0.1,8.8,0,0,1,1,1,30,16,1
30-01-23 02:00,20.7,39.5,849.4,865.18,20.68,39.63,-15.78,0.02,-0.13,-20.9,0,-0.1,1,2,1,30,16,1
30-01-23 02:15,20.7,39.6,848.5,862.1,20.7,39.58,-13.6,0,0.02,-0.9,0,0.1,1,2,1,30,16,1
30-01-23 02:30,20.7,39.6,848.3,857.43,20.7,39.58,-9.13,0,0.02,-0.2,0,0,1,2,1,30,16,1
30-01-23 02:45,20.7,39.6,825.4,854.13,20.7,39.58,-28.73,0,0.03,-22.9,0,0,1,2,1,30,16,1
30-01-23 03:00,20.8,39.6,817.5,842.9,20.7,39.58,-25.4,0.1,0.03,-7.9,0.1,0,1,3,1,30,16,1
30-01-23 03:15,20.8,39.5,815.3,834.93,20.73,39.6,-19.63,0.08,-0.1,-2.2,0,-0.1,1,3,1,30,16,1
30-01-23 03:30,20.8,39.5,813.5,826.63,20.75,39.58,-13.13,0.05,-0.08,-1.8,0,0,1,3,1,30,16,1
30-01-23 03:45,20.8,39.4,813.9,817.93,20.78,39.55,-4.02,0.03,-0.15,0.4,0,-0.1,1,3,1,30,16,1
30-01-23 04:00,20.8,39.4,801.2,815.05,20.8,39.5,-13.85,0,-0.1,-12.7,0,0,1,4,1,30,16,1
30-01-23 04:15,20.9,39.4,802.9,810.98,20.8,39.45,-8.07,0.1,-0.05,1.7,0.1,0,1,4,1,30,16,1
30-01-23 04:30,20.9,39.4,804.1,807.88,20.83,39.43,-3.78,0.07,-0.03,1.2,0,0,1,4,1,30,16,1
30-01-23 04:45,20.9,39.4,795.2,805.53,20.85,39.4,-10.32,0.05,0,-8.9,0,0,1,4,1,30,16,1
30-01-23 05:00,20.9,39.4,804,800.85,20.88,39.4,3.15,0.02,0,8.8,0,0,1,5,1,30,16,1
30-01-23 05:15,20.9,39.4,802.1,801.55,20.9,39.4,0.55,0,0,-1.9,0,0,1,5,1,30,16,1
30-01-23 05:30,20.9,39.3,797.7,801.35,20.9,39.4,-3.65,0,-0.1,-4.4,0,-0.1,1,5,1,30,16,1
30-01-23 05:45,20.9,39.3,789.1,799.75,20.9,39.38,-10.65,0,-0.08,-8.6,0,0,1,5,1,30,16,1
