datetime,temperature,humidity,co2_concentration,average_co2_last_hour,average_temperature_last_hour,average_humidity_last_hour,current_value_minus_average_last_hour_co2,current_value_minus_average_last_hour_temperature,current_value_minus_average_last_hour_humidity,current_value_minus_last_15_min_co2,current_value_minus_last_15_min_temperature,current_value_minus_last_15_min_humidity,room_number,hour_of_the_day,day_number_of_the_week,day_of_year,floor_area,occupancy
02-02-23 11:45 , 27.2 , 56.4 , 1524.0 , 1523.98 , 27.22 , 56.37 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0 , 11 , 6 , 33 , 10 , 0
02-02-23 11:46 , 27.1 , 56.7 , 1518.1 , 1518.13 , 27.06 , 56.73 , 0.00 , 0.00 , 0.00 , -5.85 , -0.17 , -0.17 , 0 , 11 , 6 , 33 , 10 , 0
02-02-23 11:47 , 26.9 , 57.0 , 1510.3 , 1510.34 , 26.93 , 57.00 , 0.00 , 0.00 , 0.00 , -7.79 , -0.13 , -0.13 , 0 , 11 , 6 , 33 , 10 , 0
02-02-23 11:48 , 26.8 , 57.1 , 1498.8 , 1498.79 , 26.82 , 57.15 , 0.00 , 0.00 , 0.00 , -11.55 , -0.11 , -0.11 , 0 , 11 , 6 , 33 , 10 , 0
02-02-23 11:49 , 26.8 , 57.3 , 1463.0 , 1512.81 , 27.01 , 56.81 , -14.02 , -0.19 , 0.33 , -35.80 , -0.06 , -0.06 , 0 , 11 , 6 , 33 , 10 , 0
02-02-23 11:50 , 26.6 , 57.5 , 1360.8 , 1497.56 , 26.89 , 57.06 , -34.57 , -0.13 , 0.29 , -102.14 , -0.13 , -0.13 , 0 , 11 , 6 , 33 , 10 , 0
02-02-23 11:51 , 26.6 , 57.6 , 1267.8 , 1458.24 , 26.79 , 57.25 , -97.39 , -0.15 , 0.26 , -93.00 , -0.06 , -0.06 , 0 , 11 , 6 , 33 , 10 , 0
02-02-23 11:52 , 26.5 , 57.7 , 1249.5 , 1397.62 , 26.70 , 57.39 , -129.77 , -0.12 , 0.18 , -18.36 , -0.04 , -0.04 , 0 , 11 , 6 , 33 , 10 , 0
02-02-23 11:53 , 26.5 , 57.6 , 1240.5 , 1335.29 , 26.63 , 57.52 , -85.80 , -0.09 , 0.15 , -9.03 , 0.01 , 0.01 , 0 , 11 , 6 , 33 , 10 , 0
02-02-23 11:54 , 26.5 , 57.7 , 1223.1 , 1279.66 , 26.57 , 57.59 , -39.20 , -0.03 , 0.03 , -17.33 , -0.06 , -0.06 , 0 , 11 , 6 , 33 , 10 , 0
02-02-23 11:55 , 26.5 , 57.6 , 1228.6 , 1245.23 , 26.54 , 57.65 , -22.10 , -0.05 , 0.07 , 5.43 , 0.03 , 0.03 , 0 , 11 , 6 , 33 , 10 , 0
02-02-23 11:56 , 26.4 , 57.8 , 1229.5 , 1235.41 , 26.52 , 57.66 , -6.85 , -0.00 , -0.03 , 0.94 , -0.10 , -0.10 , 0 , 11 , 6 , 33 , 10 , 0
02-02-23 11:57 , 26.4 , 57.8 , 1232.5 , 1230.41 , 26.50 , 57.70 , -0.91 , -0.07 , 0.12 , 2.95 , 0.03 , 0.03 , 0 , 11 , 6 , 33 , 10 , 0
02-02-23 11:58 , 26.5 , 57.5 , 1240.1 , 1228.41 , 26.47 , 57.75 , 4.04 , -0.02 , 0.08 , 7.62 , 0.06 , 0.06 , 0 , 11 , 6 , 33 , 10 , 0
02-02-23 11:59 , 26.5 , 57.7 , 1238.5 , 1232.65 , 26.48 , 57.70 , 7.43 , 0.03 , -0.17 , -1.54 , -0.04 , -0.04 , 0 , 11 , 6 , 33 , 10 , 0
02-02-23 12:00 , 26.4 , 57.7 , 1235.5 , 1235.14 , 26.46 , 57.71 , 3.39 , 0.00 , -0.03 , -3.02 , -0.02 , -0.02 , 0 , 12 , 6 , 33 , 10 , 0
02-02-23 12:01 , 26.5 , 57.5 , 1231.2 , 1236.64 , 26.47 , 57.67 , -1.13 , -0.02 , -0.02 , -4.33 , 0.10 , 0.10 , 0 , 12 , 6 , 33 , 10 , 0
02-02-23 12:02 , 26.5 , 57.6 , 1230.2 , 1236.33 , 26.49 , 57.58 , -5.14 , 0.06 , -0.11 , -0.95 , -0.08 , -0.08 , 0 , 12 , 6 , 33 , 10 , 0
02-02-23 12:03 , 26.5 , 57.4 , 1227.2 , 1233.87 , 26.48 , 57.59 , -3.63 , -0.02 , -0.03 , -3.03 , 0.06 , 0.06 , 0 , 12 , 6 , 33 , 10 , 0
02-02-23 12:04 , 26.5 , 57.5 , 1227.8 , 1231.04 , 26.50 , 57.53 , -3.83 , 0.03 , -0.10 , 0.62 , -0.04 , -0.04 , 0 , 12 , 6 , 33 , 10 , 0
02-02-23 12:05 , 26.5 , 57.3 , 1226.6 , 1229.12 , 26.50 , 57.48 , -1.28 , -0.02 , -0.02 , -1.23 , 0.06 , 0.06 , 0 , 12 , 6 , 33 , 10 , 0
02-02-23 12:06 , 26.5 , 57.4 , 1226.6 , 1227.97 , 26.50 , 57.45 , -1.37 , 0.03 , -0.10 , -0.04 , -0.04 , -0.04 , 0 , 12 , 6 , 33 , 10 , 0
02-02-23 12:07 , 26.5 , 57.4 , 1225.5 , 1227.05 , 26.51 , 57.41 , -0.49 , -0.01 , 0.01 , -1.08 , -0.03 , -0.03 , 0 , 12 , 6 , 33 , 10 , 0
02-02-23 12:08 , 26.4 , 57.4 , 1226.0 , 1226.62 , 26.49 , 57.42 , -1.14 , -0.03 , 0.03 , 0.54 , -0.03 , -0.03 , 0 , 12 , 6 , 33 , 10 , 0
02-02-23 12:09 , 26.5 , 57.3 , 1224.5 , 1226.17 , 26.48 , 57.41 , -0.15 , -0.05 , 0.01 , -1.53 , 0.06 , 0.06 , 0 , 12 , 6 , 33 , 10 , 0
02-02-23 12:10 , 26.5 , 57.2 , 1224.5 , 1225.64 , 26.47 , 57.40 , -1.15 , 0.02 , -0.10 , 0.05 , 0.00 , 0.00 , 0 , 12 , 6 , 33 , 10 , 0
02-02-23 12:11 , 26.5 , 57.4 , 1224.5 , 1225.13 , 26.47 , 57.35 , -0.60 , 0.02 , -0.10 , -0.01 , -0.03 , -0.03 , 0 , 12 , 6 , 33 , 10 , 0
02-02-23 12:12 , 26.5 , 57.3 , 1223.6 , 1224.89 , 26.47 , 57.33 , -0.36 , -0.01 , 0.03 , -0.95 , 0.01 , 0.01 , 0 , 12 , 6 , 33 , 10 , 0
02-02-23 12:13 , 26.4 , 57.3 , 1223.6 , 1224.28 , 26.48 , 57.30 , -0.70 , -0.00 , -0.01 , -0.01 , -0.03 , -0.03 , 0 , 12 , 6 , 33 , 10 , 0
02-02-23 12:14 , 26.5 , 57.3 , 1225.3 , 1224.06 , 26.47 , 57.29 , -0.48 , -0.02 , -0.01 , 1.77 , 0.02 , 0.02 , 0 , 12 , 6 , 33 , 10 , 0
02-02-23 12:15 , 26.4 , 57.3 , 1224.6 , 1224.26 , 26.47 , 57.30 , 1.09 , 0.00 , -0.02 , -0.73 , -0.04 , -0.04 , 0 , 12 , 6 , 33 , 10 , 0
02-02-23 12:16 , 26.4 , 57.4 , 1224.6 , 1224.28 , 26.45 , 57.30 , 0.34 , -0.03 , 0.04 , 0.01 , 0.01 , 0.01 , 0 , 12 , 6 , 33 , 10 , 0
02-02-23 12:17 , 26.4 , 57.2 , 1224.3 , 1224.54 , 26.44 , 57.32 , 0.08 , -0.01 , 0.06 , -0.29 , 0.00 , 0.00 , 0 , 12 , 6 , 33 , 10 , 0
02-02-23 12:18 , 26.4 , 57.3 , 1224.9 , 1224.73 , 26.44 , 57.31 , -0.40 , -0.00 , -0.07 , 0.54 , 0.00 , 0.00 , 0 , 12 , 6 , 33 , 10 , 0
02-02-23 12:19 , 26.4 , 57.3 , 1225.5 , 1224.61 , 26.43 , 57.31 , 0.26 , 0.00 , -0.03 , 0.63 , -0.01 , -0.01 , 0 , 12 , 6 , 33 , 10 , 0
02-02-23 12:20 , 26.4 , 57.3 , 1225.7 , 1224.83 , 26.43 , 57.29 , 0.67 , -0.01 , -0.01 , 0.17 , 0.01 , 0.01 , 0 , 12 , 6 , 33 , 10 , 0
02-02-23 12:21 , 26.4 , 57.2 , 1225.9 , 1225.09 , 26.43 , 57.27 , 0.58 , 0.00 , -0.00 , 0.24 , 0.00 , 0.00 , 0 , 12 , 6 , 33 , 10 , 0
02-02-23 12:22 , 26.5 , 57.1 , 1226.4 , 1225.49 , 26.43 , 57.26 , 0.42 , 0.00 , -0.05 , 0.50 , 0.03 , 0.03 , 0 , 12 , 6 , 33 , 10 , 0
02-02-23 12:23 , 26.4 , 57.2 , 1227.1 , 1225.87 , 26.44 , 57.23 , 0.53 , 0.03 , -0.08 , 0.65 , -0.02 , -0.02 , 0 , 12 , 6 , 33 , 10 , 0
02-02-23 12:24 , 26.4 , 57.4 , 1226.8 , 1226.26 , 26.45 , 57.20 , 0.80 , 0.00 , -0.02 , -0.24 , -0.05 , -0.05 , 0 , 12 , 6 , 33 , 10 , 0
02-02-23 12:25 , 26.5 , 57.2 , 1226.3 , 1226.55 , 26.44 , 57.22 , 0.27 , -0.04 , 0.13 , -0.49 , 0.07 , 0.07 , 0 , 12 , 6 , 33 , 10 , 0
02-02-23 12:26 , 26.5 , 57.3 , 1226.0 , 1226.65 , 26.44 , 57.22 , -0.32 , 0.02 , -0.02 , -0.33 , 0.00 , 0.00 , 0 , 12 , 6 , 33 , 10 , 0
02-02-23 12:27 , 26.4 , 57.4 , 1225.5 , 1226.55 , 26.44 , 57.26 , -0.55 , 0.02 , 0.03 , -0.53 , -0.02 , -0.02 , 0 , 12 , 6 , 33 , 10 , 0
02-02-23 12:28 , 26.4 , 57.6 , 1226.0 , 1226.15 , 26.44 , 57.32 , -0.69 , 0.01 , 0.11 , 0.56 , 0.00 , 0.00 , 0 , 12 , 6 , 33 , 10 , 0
02-02-23 12:29 , 26.4 , 57.6 , 1226.5 , 1225.96 , 26.46 , 57.37 , 0.07 , -0.01 , 0.21 , 0.45 , -0.03 , -0.03 , 0 , 12 , 6 , 33 , 10 , 0
02-02-23 12:30 , 26.4 , 58.3 , 1226.1 , 1225.99 , 26.45 , 57.48 , 0.48 , -0.02 , 0.16 , -0.34 , -0.04 , -0.04 , 0 , 12 , 6 , 33 , 10 , 0
02-02-23 12:31 , 26.4 , 60.0 , 1228.8 , 1226.02 , 26.43 , 57.75 , 0.11 , -0.05 , 0.60 , 2.64 , 0.02 , 0.02 , 0 , 12 , 6 , 33 , 10 , 0
